model,dataset,task,task_type,seed,n_trials,metric,device,selected,config,config_tag,val_score,test_score,ensemble_size,test_items,test_rows
Ours,rel-amazon,item-churn,BINARY_CLASSIFICATION,0,36,roc_auc,cuda,True,"{""ctx_size"": 2048, ""local_ctx_size"": 1024, ""bfs_width"": 256, ""prefer_latest"": true}",hpo,0.8258147160253154,0.8321057845189657,4,65536,166842
Ours,rel-amazon,item-ltv,REGRESSION,0,36,mae,cuda,True,"{""ctx_size"": 2048, ""local_ctx_size"": 1024, ""bfs_width"": 64, ""prefer_latest"": false}",hpo,42.0764821463379,48.95670629013351,4,65536,178334
Ours,rel-amazon,user-churn,BINARY_CLASSIFICATION,0,36,roc_auc,cuda,True,"{""ctx_size"": 2048, ""local_ctx_size"": 2048, ""bfs_width"": 128, ""prefer_latest"": false}",hpo,0.7194914834019903,0.7077458596657331,4,65536,351885
Ours,rel-amazon,user-ltv,REGRESSION,0,36,mae,cuda,True,"{""ctx_size"": 2048, ""local_ctx_size"": 1024, ""bfs_width"": 64, ""prefer_latest"": false}",hpo,12.891732969566112,14.897137343735082,4,65536,351885
Ours,rel-avito,ad-ctr,REGRESSION,0,36,mae,cuda,True,"{""ctx_size"": 2048, ""local_ctx_size"": 2048, ""bfs_width"": 256, ""prefer_latest"": false}",hpo,0.03265286462995597,0.03618039310138469,4,1816,1816
Ours,rel-avito,user-clicks,BINARY_CLASSIFICATION,0,36,roc_auc,cuda,True,"{""ctx_size"": 2048, ""local_ctx_size"": 2048, ""bfs_width"": 256, ""prefer_latest"": false}",hpo,0.6799572642821032,0.6565896966036633,4,47996,47996
Ours,rel-avito,user-visits,BINARY_CLASSIFICATION,0,36,roc_auc,cuda,True,"{""ctx_size"": 2048, ""local_ctx_size"": 1024, ""bfs_width"": 256, ""prefer_latest"": true}",hpo,0.7031612650019323,0.6678909998989788,4,36129,36129
Ours,rel-event,user-attendance,REGRESSION,0,36,mae,cuda,True,"{""ctx_size"": 2048, ""local_ctx_size"": 512, ""bfs_width"": 256, ""prefer_latest"": true}",hpo,0.29785726111250443,0.32086431274092875,4,1958,1958
Ours,rel-event,user-ignore,BINARY_CLASSIFICATION,0,36,roc_auc,cuda,True,"{""ctx_size"": 512, ""local_ctx_size"": 512, ""bfs_width"": 256, ""prefer_latest"": false}",hpo,0.8724891650174111,0.8289880602857703,4,1958,1958
Ours,rel-event,user-repeat,BINARY_CLASSIFICATION,0,36,roc_auc,cuda,True,"{""ctx_size"": 2048, ""local_ctx_size"": 1024, ""bfs_width"": 128, ""prefer_latest"": true}",hpo,0.7420568561872909,0.6921457219251337,4,246,246
Ours,rel-f1,driver-dnf,BINARY_CLASSIFICATION,0,36,roc_auc,cuda,True,"{""ctx_size"": 2048, ""local_ctx_size"": 1024, ""bfs_width"": 256, ""prefer_latest"": true}",hpo,0.7717278911564625,0.7650222027033622,4,702,702
Ours,rel-f1,driver-position,REGRESSION,0,36,mae,cuda,True,"{""ctx_size"": 1024, ""local_ctx_size"": 512, ""bfs_width"": 128, ""prefer_latest"": false}",hpo,2.828452833861951,2.7849949134561776,4,760,760
Ours,rel-f1,driver-top3,BINARY_CLASSIFICATION,0,36,roc_auc,cuda,True,"{""ctx_size"": 2048, ""local_ctx_size"": 1024, ""bfs_width"": 256, ""prefer_latest"": false}",hpo,0.840165917113114,0.837283131270903,4,726,726
Ours,rel-hm,item-sales,REGRESSION,0,36,mae,cuda,True,"{""ctx_size"": 2048, ""local_ctx_size"": 1024, ""bfs_width"": 64, ""prefer_latest"": false}",hpo,0.0459432264833454,0.036854309556939274,4,65536,105542
Ours,rel-hm,user-churn,BINARY_CLASSIFICATION,0,36,roc_auc,cuda,True,"{""ctx_size"": 2048, ""local_ctx_size"": 2048, ""bfs_width"": 256, ""prefer_latest"": false}",hpo,0.7151983779021628,0.7027970265225167,4,65536,74575
Ours,rel-stack,post-votes,REGRESSION,0,36,mae,cuda,True,"{""ctx_size"": 2048, ""local_ctx_size"": 2048, ""bfs_width"": 64, ""prefer_latest"": true}",hpo,0.07102397711809162,0.07708515937847711,4,65536,160903
Ours,rel-stack,user-badge,BINARY_CLASSIFICATION,0,36,roc_auc,cuda,True,"{""ctx_size"": 2048, ""local_ctx_size"": 512, ""bfs_width"": 128, ""prefer_latest"": false}",hpo,0.8857289901005093,0.8788107606242949,4,65536,255360
Ours,rel-stack,user-engagement,BINARY_CLASSIFICATION,0,36,roc_auc,cuda,True,"{""ctx_size"": 512, ""local_ctx_size"": 512, ""bfs_width"": 256, ""prefer_latest"": false}",hpo,0.8946163974433942,0.8994156601503083,4,65536,88137
Ours,rel-trial,site-success,REGRESSION,0,36,mae,cuda,True,"{""ctx_size"": 2048, ""local_ctx_size"": 512, ""bfs_width"": 256, ""prefer_latest"": true}",hpo,0.06231849829264075,0.037713455975424526,4,22617,22617
Ours,rel-trial,study-adverse,REGRESSION,0,36,mae,cuda,True,"{""ctx_size"": 2048, ""local_ctx_size"": 1024, ""bfs_width"": 256, ""prefer_latest"": false}",hpo,36.253559742687855,40.89361443160362,4,3098,3098
Ours,rel-trial,study-outcome,BINARY_CLASSIFICATION,0,36,roc_auc,cuda,True,"{""ctx_size"": 2048, ""local_ctx_size"": 1024, ""bfs_width"": 64, ""prefer_latest"": true}",hpo,0.6865984033166694,0.7184083396898042,4,825,825
